#,MM:DD:YYYY,HH:MM:SS,PM1.0,PM2.5,PM10.0,TVOC(ppb),CO2(ppm)
255, 1/ 1/2000, 4:19: 0 AM,3,4,4,131,400
256, 1/ 1/2000, 4:20: 0 AM,2,3,4,133,400
257, 1/ 1/2000, 4:21: 0 AM,3,5,5,129,400
258, 1/ 1/2000, 4:22: 0 AM,2,2,2,124,400
259, 1/ 1/2000, 4:23: 0 AM,2,3,4,135,400
260, 1/ 1/2000, 4:24: 0 AM,2,4,4,127,400
261, 1/ 1/2000, 4:25: 0 AM,2,4,4,127,400
262, 1/ 1/2000, 4:26: 0 AM,2,3,3,129,400
263, 1/ 1/2000, 4:27: 0 AM,3,4,4,135,400
264, 1/ 1/2000, 4:28: 0 AM,3,4,4,124,400
265, 1/ 1/2000, 4:29: 0 AM,2,3,3,125,400
266, 1/ 1/2000, 4:30: 0 AM,1,2,2,120,400
267, 1/ 1/2000, 4:31: 0 AM,1,1,5,128,400
268, 1/ 1/2000, 4:32: 0 AM,2,3,3,127,400
269, 1/ 1/2000, 4:33: 0 AM,2,3,6,120,400
270, 1/ 1/2000, 4:34: 0 AM,1,2,2,129,400
271, 1/ 1/2000, 4:35: 0 AM,2,3,4,128,400
272, 1/ 1/2000, 4:36: 0 AM,2,4,4,115,400
273, 1/ 1/2000, 4:37: 0 AM,2,2,4,126,400
274, 1/ 1/2000, 4:38: 0 AM,2,3,3,120,400
275, 1/ 1/2000, 4:39: 0 AM,4,5,5,116,400
276, 1/ 1/2000, 4:40: 0 AM,3,3,5,110,400
277, 1/ 1/2000, 4:41: 0 AM,1,2,3,108,400
278, 1/ 1/2000, 4:42: 0 AM,3,4,4,111,400
279, 1/ 1/2000, 4:43: 0 AM,3,3,3,115,400
280, 1/ 1/2000, 4:44: 0 AM,2,3,3,118,400
281, 1/ 1/2000, 4:45: 0 AM,2,2,2,101,400
282, 1/ 1/2000, 4:46: 0 AM,2,3,6,105,400
283, 1/ 1/2000, 4:47: 0 AM,2,3,3,101,400
284, 1/ 1/2000, 4:48: 0 AM,3,5,5,98,400
285, 1/ 1/2000, 4:49: 0 AM,3,4,4,95,400
286, 1/ 1/2000, 4:50: 0 AM,3,4,4,106,400
287, 1/ 1/2000, 4:51: 0 AM,3,3,3,95,400
288, 1/ 1/2000, 4:52: 0 AM,2,3,3,95,400
289, 1/ 1/2000, 4:53: 0 AM,3,3,5,90,400
290, 1/ 1/2000, 4:54: 0 AM,2,3,3,101,400
291, 1/ 1/2000, 4:55: 0 AM,1,2,2,103,400
292, 1/ 1/2000, 4:56: 0 AM,2,2,2,106,400
293, 1/ 1/2000, 4:57: 0 AM,3,3,5,115,400
294, 1/ 1/2000, 4:58: 0 AM,2,3,3,108,400
295, 1/ 1/2000, 4:59: 0 AM,2,5,6,129,400
296, 1/ 1/2000, 5: 0: 0 AM,3,5,5,101,400
297, 1/ 1/2000, 5: 1: 0 AM,4,6,6,113,400
298, 1/ 1/2000, 5: 2: 0 AM,2,2,2,109,400
299, 1/ 1/2000, 5: 3: 0 AM,2,3,3,102,400
300, 1/ 1/2000, 5: 4: 0 AM,3,4,6,109,400
301, 1/ 1/2000, 5: 5: 0 AM,2,5,7,113,400
302, 1/ 1/2000, 5: 6: 0 AM,3,4,5,110,400
303, 1/ 1/2000, 5: 7: 0 AM,2,3,3,111,400
304, 1/ 1/2000, 5: 8: 0 AM,3,3,3,109,400
305, 1/ 1/2000, 5: 9: 0 AM,2,2,2,118,400
306, 1/ 1/2000, 5:10: 0 AM,3,4,8,103,400
307, 1/ 1/2000, 5:11: 0 AM,2,2,2,117,400
308, 1/ 1/2000, 5:12: 0 AM,2,3,6,108,400
309, 1/ 1/2000, 5:13: 0 AM,3,4,4,110,400
310, 1/ 1/2000, 5:14: 0 AM,3,3,3,103,400
311, 1/ 1/2000, 5:15: 0 AM,3,3,3,112,400
312, 1/ 1/2000, 5:16: 0 AM,3,4,4,114,400
313, 1/ 1/2000, 5:17: 0 AM,4,6,10,110,400
314, 1/ 1/2000, 5:18: 0 AM,3,4,6,108,400
315, 1/ 1/2000, 5:19: 0 AM,2,2,2,107,400
316, 1/ 1/2000, 5:20: 0 AM,2,2,2,108,400
317, 1/ 1/2000, 5:21: 0 AM,2,2,2,105,400
318, 1/ 1/2000, 5:22: 0 AM,2,3,3,109,400
319, 1/ 1/2000, 5:23: 0 AM,2,2,2,109,400
320, 1/ 1/2000, 5:24: 0 AM,2,3,5,99,400
321, 1/ 1/2000, 5:25: 0 AM,2,3,3,102,400
322, 1/ 1/2000, 5:26: 0 AM,2,4,4,115,400
323, 1/ 1/2000, 5:27: 0 AM,3,5,6,136,400
324, 1/ 1/2000, 5:28: 0 AM,2,3,3,150,400
325, 1/ 1/2000, 5:29: 0 AM,3,3,5,140,400
326, 1/ 1/2000, 5:30: 0 AM,3,3,3,154,400
327, 1/ 1/2000, 5:31: 0 AM,1,1,3,149,400
328, 1/ 1/2000, 5:32: 0 AM,2,3,4,148,400
329, 1/ 1/2000, 5:33: 0 AM,2,2,2,160,400
330, 1/ 1/2000, 5:34: 0 AM,2,3,5,155,400
